dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
85135,2393,16580189,16569007,583209,77268
85695,2260,16580189,16569007,588875,77769
86279,2341,16580189,16569007,594227,78586
86812,2411,16580189,16569007,599162,79466
87765,2367,16580189,16569007,604608,79952
88049,2468,16580189,16569007,609524,80665
90077,2392,16580189,16569007,616506,80703
89818,2483,16580189,16569007,621255,82586
90793,2442,16580189,16569007,626371,83235
91591,2551,16580189,16569007,631620,83791
92508,2530,16580189,16569007,637494,84104
93180,2577,16580189,16569007,642925,85172
93635,2611,16580189,16569007,648442,85507
94489,2586,16580189,16569007,653044,87301
96011,2588,16580189,16569007,659427,87040
95778,2545,16580189,16569007,664278,88382
97166,2670,16580189,16569007,669909,88865
97696,2629,16580189,16569007,675289,89687
98438,2729,16580189,16569007,680547,90451
98743,2661,16580189,16569007,685695,90934
99779,2858,16580189,16569007,691015,91601
100272,2817,16580189,16569007,695430,93040
101166,2691,16580189,16569007,700877,93028
101984,2793,16580189,16569007,705691,94377
103083,2888,16580189,16569007,710997,94889
102599,2843,16580189,16569007,715491,95262
103345,2930,16580189,16569007,719918,95988
104104,2879,16580189,16569007,724466,96677
105155,2907,16580189,16569007,729343,97371
105381,2893,16580189,16569007,733819,98012
106619,3007,16580189,16569007,738430,99001
107438,3054,16580189,16569007,742793,100021
108065,3067,16580189,16569007,748080,99711
108480,3067,16580189,16569007,753497,99996
109386,2942,16580189,16569007,758740,101201
110223,2992,16580189,16569007,763836,102135
110538,3200,16580189,16569007,769044,102130
110961,3055,16580189,16569007,773517,103433
111580,3051,16580189,16569007,777686,104360
112539,3144,16580189,16569007,782174,104907
112868,3209,16580189,16569007,786636,105197
113112,3120,16580189,16569007,790479,106149
114230,3214,16580189,16569007,794473,107022
114141,3229,16580189,16569007,798164,107221
115287,3266,16580189,16569007,802452,107733
115766,3281,16580189,16569007,806626,108311
116268,3257,16580189,16569007,810497,109140
117181,3370,16580189,16569007,814849,109459
117899,3353,16580189,16569007,819737,109658
118104,3374,16580189,16569007,823520,110947
118985,3354,16580189,16569007,828506,110645
119341,3406,16580189,16569007,832731,111710
120003,3304,16580189,16569007,836856,112574
120549,3395,16580189,16569007,841235,112775
121320,3452,16580189,16569007,845578,113525
121973,3462,16580189,16569007,849650,114439
121490,3481,16580189,16569007,853057,114602
122275,3381,16580189,16569007,856195,115756
122643,3494,16580189,16569007,859698,115646
123221,3570,16580189,16569007,862867,116482
